,t,date,arr__m,total_revenue,growth_persistance,gross_profit,gross_margin,research_&_development,sales_&_marketing,s&m_%,general_&_administrative,total_operating_expense,deprecation_&_amoritization,net_income,free_cash_flow,free_cash_flow_%,cash_from_operating_activites,ltm_cac_ratio,net_dollar_retention,customers,quarter,ltm_rev_g,ntm_rev_g,next_q_total_revenue,qoq_rev_g,ntm_rev_2yr_g,rule_of_40,new_arr,q_sales_ef,rol_s&m_%,growth_ef,rol_growth_ef,rol_qoq_rev_g
NTNX,0.0,2016_jul,793.0,198.267,1.87,143.888,73.0,35.129,86.008,43.379886718415065,10.289,131.426,7.433,10.337,-6.509,-0.03,2.366,1.02,,3770.0,0.0,167.6209759060539,53.90155699132988,166.809,72.87208998168977,23.774589847355788,164.6209759060539,83.577,1.1018866431989873,60.17002480404954,58.86791908763844,15.602650656437334,47.558675532434876
API,0.0,2020_mar,142.0,35.56,2.54,24.478,69.0,11.688,6.002,16.8785151856018,3.545,21.235,0.745,2.987,-3.416,-0.1,-0.919,2.45,1.66,1176.0,0.0,166.1278251758719,,33.904,86.12928552734887,,156.1278251758719,16.455000000000002,2.9605973371716447,26.99545979640665,82.34713583822271,18.60509781570609,40.44617673392655
SNOW,0.0,2020_jul,532.0,133.145,,82.699,62.0,36.533,92.663,69.59555371962897,31.186,160.382,,-77.634,-24.914,-0.19,,0.55,1.58,3117.0,0.0,120.66159531977662,,,22.35904976335985,,101.66159531977662,24.330000000000013,0.24857729599395173,88.72902418722215,38.66475622458702,30.001041764203347,48.41610518754145
PANW,0.0,2012_apr,174.0,65.7,,47.067,72.0,10.462,30.216,45.990867579908674,6.43,47.108,1.719,0.796,6.557,0.1,10.775,1.52,,7750.0,0.0,110.85400686799964,54.16894977168949,75.642,15.907767761057112,51.45162636754994,120.85400686799964,9.017000000000003,0.3520615336560988,47.19432083958493,4.260959210639225,,
FEYE,0.0,2013_jun,132.0,33.222,1.04,22.936,69.0,14.016,37.594,113.1599542471856,10.37,61.98,3.861,-40.235,-34.039,-1.02,-18.156,1.11,,1100.0,0.0,108.48446815186693,184.41695262175668,42.652,16.913006756756754,110.49963353816987,6.484468151866935,4.806000000000001,0.1682242990654206,92.08163180159482,-36.71420340610278,-6.2087748832106024,46.386514626781825
WDAY,0.0,2012_jul,168.0,62.702,,34.437,55.00000000000001,23.552,29.629,47.25367611878409,7.616,60.797,3.943,-26.881,-1.881,-0.03,1.924,0.88,,,0.0,108.13251012414523,71.53360339383114,72.618,10.355873138794047,72.59352100259622,105.13251012414523,5.884,0.23689508011917224,48.3163199716259,6.925704784234554,,
ZM,0.0,2019_jan,423.0,105.8,,86.275,82.0,10.808,55.052,52.03402646502836,14.923,80.783,2.549,5.697,5.68,0.05,15.991,1.29,1.4,50800.0,0.0,107.80139058019404,77.93100189035917,121.988,17.397720841979126,,112.80139058019404,15.679000000000002,0.2933176188872676,56.69975149374367,12.461598030381715,-0.4084615301350958,42.5328589886658
CRWD,0.0,2019_apr,364.0,96.077,,66.804,70.0,23.875,56.843,59.16400387189442,11.861,92.579,4.873,-25.977,-16.11,-0.17,1.415,0.76,1.42,3059.0,0.0,103.16987037154517,85.34925112149632,108.108,19.417065440308257,,86.16987037154517,15.622,0.31663221046657747,65.68165173044508,18.843147023244278,,
SHOP,0.0,2015_mar,89.0,37.348,0.93,21.566,57.99999999999999,7.313,13.54,36.253614651386954,4.189,25.042,1.47,-4.53,1.442,0.04,3.966,0.97,,,0.0,98.55396065922382,94.71457641640784,44.926,6.156557330453061,84.67803394997044,102.55396065922382,2.165999999999997,0.17741010729789475,41.460810154132105,21.224546264237443,15.198056871605505,41.80275291142995
QTWO,0.0,2013_dec,62.0,15.669,,4.79,31.0,,4.929,31.457017040015316,3.424,11.105,0.856,-6.499,-2.386,-0.15,-1.306,0.61,1.28,334.0,0.0,96.69846849108711,115.45089029293507,26.284,9.382198952879595,68.58743851195426,81.69846849108711,1.3440000000000012,0.2922374429223747,29.21729658751029,-6.417994859447273,7.632103614450408,43.04828924436097
TTD,0.0,2016_jun,188.0,47.182,0.48,38.5,82.0,5.763,11.251,23.84595820439998,6.452,32.148,0.834,7.598,3.361,0.07,5.56,4.41,,,0.0,92.9576312776051,54.304607689373064,52.956,55.31634735663968,54.29985060944398,99.9576312776051,16.804000000000002,1.9931206262602306,23.68543671382351,4.758709635361178,12.993883984246974,52.153418782831196
SPLK,0.0,2012_jan,172.0,43.199,,39.764,92.0,,26.445,61.21669483089887,6.59,40.369,0.691,-1.276,7.923,0.18,10.007,1.58,,3700.0,0.0,89.62732101312498,50.98729137248548,37.191,38.57825682481635,52.078434308475074,107.62732101312498,12.026,0.6270399916575421,61.94172756271874,2.3490864429235785,-1.7554275810129711,34.53833423555364
NOW,0.0,2012_mar,158.0,47.431,,26.195,55.00000000000001,6.043,19.307,40.705445805485866,6.427,31.777,,-5.64,7.521,0.16,16.079,1.1,0.96,1074.0,0.0,88.12866888783117,81.18740907845078,56.774,21.065393843483584,71.24457145599297,104.12866888783117,8.253,0.4456022892932347,42.462634796105704,-0.5378514966884538,,
ZI,0.0,2020_mar,414.0,102.2,1.19,81.8,80.0,9.5,39.0,38.16046966731898,11.2,61.5,,-5.9,28.3,0.28,28.3,,1.09,15000.0,0.0,87.17948717948718,,110.9,12.184412733260164,,115.17948717948718,11.100000000000009,,,,,36.18805257337225
WIX,0.0,2013_sep,85.0,21.414,1.18,17.193,80.0,7.717,14.619,68.26842252731858,2.114,24.45,0.35,-7.735,-0.04,0.0,0.528,0.73,,,0.0,86.28969117007397,75.13776034370036,24.943,15.166182639561153,58.18327426801127,86.28969117007397,2.8200000000000003,0.23326991479857723,66.26857048541423,-4.502318181049027,1.755399046404814,31.164394355764934
CRM,0.0,2004_apr,139.0,34.839,,28.476,82.0,2.127,20.415,58.59812279342117,5.573,28.115,0.748,0.454,6.381,0.18,6.659,1.14,,,0.0,84.2066303600698,84.21022417405783,40.581,15.925198815426068,73.34505719811801,102.2066303600698,4.785999999999998,,,,,32.74553824906474
DDOG,0.0,2019_jun,332.0,83.222,0.76,62.244,75.0,24.032,36.118,43.39958184134004,6.088,66.238,2.658,-3.949,-5.532,-0.07,-0.438,1.24,1.46,8800.0,0.0,82.19274048776215,68.23916752781717,95.864,18.80371163454675,,75.19274048776215,13.171999999999997,0.4375062277875576,45.70445943119259,5.326698650463182,-5.299085094739175,33.90950901393096
OKTA,0.0,2017_jan,183.0,49.3,,33.613,68.0,10.532,23.505,47.67748478701825,9.09,43.127,1.391,-9.771,-9.805,-0.2,-6.702,0.56,1.23,3114.0,0.0,81.66408725771979,56.29208924949292,52.325,16.595321997020072,53.04283561626975,61.664087257719785,7.016999999999996,0.21629369336045853,70.84455589299502,48.167872867650956,21.233671556419246,35.53005099529432
ZEN,0.0,2014_mar,100.0,25.092,0.8,16.097,64.0,5.178,14.287,56.93846644348797,6.384,25.849,1.808,-10.259,-6.976,-0.28,-1.595,0.81,,,0.0,80.3752426137589,68.3165949306552,29.506,11.515043775832169,65.1762629192776,52.3752426137589,2.5909999999999975,0.2272009821115396,52.43569525618094,-9.268514347972022,8.143300397023001,33.63705993930395
ESTC,0.0,2018_jul,206.0,56.644,0.87,41.087,73.0,18.981,30.422,53.707365299060804,10.099,59.502,1.542,-18.578,4.79,0.08,5.126,0.83,1.42,5500.0,0.0,79.00391859436229,58.37511475178305,63.575,14.266117969821668,50.83389888185983,87.00391859436229,7.071999999999996,0.2532316396318973,51.353402617818666,-5.142553004858552,7.409112715093807,30.581411278665726
TWLO,0.0,2016_mar,237.0,59.34,0.86,32.513,55.00000000000001,14.864,13.422,22.61880687563195,10.593,38.879,1.58,-6.468,2.747,0.05,6.022,1.09,1.7,28648.0,0.0,77.85104151056497,47.23963599595551,64.51,15.586894697884613,47.50823299102602,82.85104151056497,8.002000000000002,0.6058449424591159,28.231965260957022,28.357525719675227,17.125566110465396,32.76298342097458
NEWR,0.0,2014_sep,101.0,25.361,0.67,20.332,80.0,5.336,19.019,74.99309964118133,5.249,29.604,,-9.212,-21.41,-0.84,,0.68,1.15,,0.0,77.49860022396417,69.26777335278575,29.029,12.152301773316232,58.16063506189788,-6.501399776035825,2.748000000000001,0.14761495487752477,84.42256118658574,16.973045689026932,13.006917056319825,36.33376512749829
LOGM,0.0,2009_mar,68.0,17.197,,15.453,90.0,3.004,8.446,49.11321742164331,1.656,13.188,,2.133,,,,0.82,,,0.0,73.3743320899284,23.998371809036477,18.007,7.5081270317579385,25.389432330124784,,1.2009999999999987,0.14603599221789867,56.282671917423585,23.755434372338023,,
VEEV,0.0,2013_jul,136.0,49.581,,30.438,61.0,6.357,9.61,19.382424719146446,4.633,20.6,0.511,5.998,6.354,0.13,7.238,2.32,,170.0,0.0,68.32795790188425,52.60684536415159,54.979,15.875946527063679,40.66704261280567,81.32795790188425,6.793000000000006,0.8865831375619951,17.415008230352722,-23.402372277778195,,
INST,0.0,2015_sep,0.0,20.894,,14.1,67.0,6.525,13.172,63.042021633004694,4.506,24.203,0.582,-10.212,18.387,0.88,19.676,0.55,1.0,,0.0,67.95819935691318,44.27586867043172,21.797,31.599168608679197,43.79578544699885,155.95819935691318,5.016999999999998,0.35708185053380764,80.58613903034414,29.41843771849695,,
SMAR,0.0,2018_jan,119.0,32.963,,26.818,81.0,9.593,20.084,60.928920304583926,5.756,35.433,1.409,-8.714,-9.959,-0.3,-6.615,0.69,1.3,74116.0,0.0,67.53748411689962,58.210721111549326,36.319,12.168645999931949,54.33840747553855,37.53748411689962,3.5760000000000005,0.17253691016115028,65.72675480159455,7.116097217459427,-6.999610052092342,26.806203158625358
WORK,0.0,2019_apr,539.0,134.821,0.74,116.247,86.0,51.103,66.838,49.575362888570766,36.744,154.685,5.876,-31.881,-34.203,-0.25,-14.126,0.88,1.38,95000.0,0.0,66.61229130364934,49.56868737066185,144.973,10.538916264235398,,41.61229130364934,12.854,0.1841995901580614,57.264207787402434,15.889929476009302,5.321301695513683,29.369020145528072
COUP,0.0,2016_jul,124.0,31.132,,19.651,63.0,7.206,19.252,61.83990749068482,4.62,31.078,1.099,-12.438,1.437,0.05,2.507,0.47,,465.0,0.0,66.44568006843457,43.103559038930996,35.442,6.678545728677654,40.723475271026246,71.44568006843457,1.9490000000000016,0.12307400858802738,60.069873698215105,1.4582317625197128,10.030095244014886,26.57388747043577
ZUO,0.0,2018_jan,138.0,49.816,,25.449,51.0,11.017,21.031,42.217359884374495,6.782,38.83,1.534,-13.823,-9.161,-0.18,-6.943,0.43,1.1,971.0,0.0,62.208980495587916,27.143889513409334,52.448,7.457020211825105,18.872202849302422,44.208980495587916,3.4570000000000007,0.1856107382550336,43.878719242128604,8.837658394580039,13.836890843645794,19.180880256379034
AYX,0.0,2016_dec,99.0,24.962,,20.663,83.0,5.062,15.055,60.311673744091024,6.097,26.214,0.495,-6.077,2.242,0.09,3.095,0.51,1.35,2328.0,0.0,61.52452439497864,54.58697219774058,28.545,11.12990828955569,88.98223650461361,70.52452439497864,2.5,0.18579072532699167,67.91145044168317,18.6907885282927,13.85294482948973,25.257487424677798
APPF,0.0,2015_mar,63.0,15.848,,8.783,55.00000000000001,2.009,5.709,36.02347299343766,3.392,12.293,1.183,-3.618,,,,0.79,,,0.0,61.15517592027659,46.46012115093385,18.425,19.888039942507007,42.377412577687366,,2.6290000000000013,0.4907597535934294,35.42906725931718,-2.4727753527626923,,
HCAT,0.0,2019_jun,147.0,36.804,1.93,19.094,52.0,9.71,10.385,28.217041625910227,6.146,28.457,2.216,-10.694,-8.791,-0.24,-8.417,0.72,,,0.0,60.08699434536757,17.53885447233996,39.423,4.518217703688987,,36.08699434536757,1.591000000000001,0.1519144466723958,33.01970760085712,28.934559081369425,13.952251253967063,31.80159725600986
BILL,0.0,2019_sep,114.0,35.18,0.8,26.033,74.0,11.515,10.267,29.184195565662307,10.535,32.317,0.985,-5.696,-4.541,-0.13,-2.38,1.34,1.1,81374.0,0.0,56.88547984302532,,39.08,11.033960358540584,,43.88547984302532,3.4959999999999987,0.3513920997085133,28.257870588324618,-6.421471580646342,-1.8402813099218265,26.38462380672903
ZS,0.0,2018_jan,179.0,44.976,0.95,36.297,81.0,9.183,27.11,60.27659196015652,6.403,42.696,1.989,-6.515,-4.567,-0.1,-1.116,0.55,1.22,,0.0,52.839229279233344,65.20366417644968,49.163,12.832091518025134,50.05335230472818,42.839229279233344,5.115000000000002,0.18995098039215694,63.817302980157194,6.342948607520892,0.14875938459234472,23.478285537389038
MDB,0.0,2017_jul,130.0,35.6,1.05,25.412,71.0,15.749,26.892,75.53932584269663,8.933,51.574,0.963,-26.079,-16.067,-0.45,-15.148,0.42,1.2,4300.0,0.0,50.78356628547227,67.44662921348312,41.488,9.91046619326954,67.06992413526078,5.7835662854722685,3.210000000000001,0.14495371415669456,72.47739427556911,-0.8829434447496407,8.634895218281981,22.13014365419323
TEAM,0.0,2015_sep,121.0,101.822,1.12,85.402,84.0,45.46,16.262,15.971008230048517,17.068,78.79,4.534,5.082,8.249,0.08,14.404,1.88,,51636.0,0.0,49.91019110155768,34.33933727485219,109.706,10.905130160113274,38.557600436080804,57.91019110155768,10.012,0.520617752586969,20.717777942598133,27.120661005476464,-9.049835430759277,21.191956468582134
NCNO,0.0,2020_apr,139.0,44.712,0.88,25.846,57.99999999999999,10.965,12.226,27.34388978350331,6.926,30.117,1.743,-4.832,7.354,0.16,8.429,0.78,1.47,,0.0,49.85923045984719,,,16.123000207770644,,65.8592304598472,6.2080000000000055,0.4643231114435307,32.0099211018591,16.553493615315496,1.8419266067459883,19.936028185996527
NET,0.0,2019_jun,269.0,67.424,0.85,52.592,78.0,18.868,35.836,53.15021357380161,17.659,72.363,6.99,-19.706,-16.895,-0.25,-2.867,0.94,1.11,74873.0,0.0,48.90130518318942,47.90134076886567,73.941,9.229348583277996,,23.90130518318942,5.69700000000001,0.18486549631696822,50.68014708862236,-6.864018108027857,-6.695162997442783,15.015052783582648
BL,0.0,2016_sep,128.0,32.196,,24.655,77.0,5.087,19.037,59.12846316312586,7.698,31.822,4.356,-6.619,2.879,0.09,4.139,0.46,1.18,1625.0,0.0,48.63579705461427,41.085849173810416,40.251,10.921243023496174,35.06531322705555,57.63579705461427,3.169999999999998,0.1662035337912231,65.52501654736511,14.122504502748,,
PD,0.0,2019_jan,135.0,33.83,,28.971,86.0,8.757,16.709,49.39107301211942,9.919,35.385,4.933,-6.207,-0.189,-0.01,0.628,0.61,1.4,11212.0,0.0,46.94001650523389,35.75524682234703,37.314,8.328796951551443,,45.94001650523389,2.600999999999999,0.13880883765609986,54.43550740196383,14.069349198681047,6.563717564610236,20.095213054044578
